NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
3751,ZOLFO DOPPIO VENTILATO 1 STELLA RAMATO 3%,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),0.5 g|95.5 g
3752,BASUDIN 600 EW,SYNGENTA ITALIA S.P.A.,DIAZINON,55.6 g
3753,TRIFLURALIN 45 SCHERING,AVENTIS CROPSCIENCE ITALIA S.P.A.,TRIFLURALIN,-
3754,BAGNANTE SARIAF,GOWAN ITALIA S.R.L.,SORBITAN MONOLEATO,12.0 g
3755,CICLOBIET,SIPCAM S.P.A.,CYCLOATE|CHLORIDAZON (AKA PYRAZONE),34.0 g|16.0 g
3756,SULFURAM 5%,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER SULFATE|SULPHUR (ZOLFO),-
3757,DISERBENE DS,SIPCAM S.P.A.,DIURON|SIMAZINE,20.0 g|30.0 g
3758,PENNTHAL 19,ELF ATOCHEM AGRI B.V.,ENDOTHAL,19.0 g
3759,GESAL ORTO INSETTICIDA LIQUIDO,RECKITT & COLMANN ITALIA S.P.A.,DIAZINON,-
3760,BASUDIN EMULSIONE,SYNGENTA ITALIA S.P.A.,DIAZINON,20.0 g
3761,GESAL ORTO INSETTICIDA GRANULARE,RECKITT & COLMANN ITALIA S.P.A.,DIAZINON,-
3762,SULFURAM 3%,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER SULFATE|SULPHUR (ZOLFO),1.0 g|96.0 g
3763,SULFURAM 7%,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER SULFATE|SULPHUR (ZOLFO),-
3764,FUNGHITAN 3,GUABER S.P.A.,MANEB|COPPER SULFATE|ZINEB,23.0 g|15.0 g|3.0 g
3765,FUMISOL,SIPCAM S.P.A.,METAM SODIUM,32.7 g
3766,SCLEROSAN 4 PS,DOW AGROSCIENCES ITALIA S.R.L.,DICLORAN,4.0 g
3767,FENOXILENE 200,NUFARM ITALIA S.R.L.,MCPA,19.1 g
3768,SCLEROSAN 50,"GOWAN COMERCIO INTERNACIONAL E SERVICOS, LIMITADA",DICLORAN,50.0 g
3769,CRITTOX P 10,CAFFARO S.P.A.,ZINEB,8.0 g
3770,TRITLANE,CHIMIBERG S.R.L.,"DICLOROETHANE-1,1|CARBON TETRACHLORIDE",80.0 g|20.0 g
3771,ROVRAL WG,BASF ITALIA S.P.A.,IPRODIONE,75.0 g
3772,BORIAL PLUS,BASF ITALIA S.P.A.,IPRODIONE,75.0 g
3773,CUPRANEB,CHEMINOVA AGRO ITALIA S.R.L.,MANEB|COPPER SULFATE,8.0 g|22.0 g
3774,MALERTOX GM COMBI,SIVAM S.P.A.,"MCPA|SODIUM DIOCTYL SULFOSUCCINATE|2,4-D",25.0 g|25.0 g|25.0 g
3775,CERENONE L,SIPCAM S.P.A.,"CARBON DISULPHIDE|DICLOROETHANE-1,1|CARBON TETRACHLORIDE",-
3776,CRITTOX P 20,CAFFARO S.P.A.,ZINEB,16.0 g
3777,TRILL,DOW AGROSCIENCES ITALIA S.R.L.,"2,4-DB",-
3778,TENKOR,DOW AGROSCIENCES ITALIA S.R.L.,TETRADIFON,-
3779,VAPAM,EASTMAN ITALIA S.R.L.,METAM SODIUM,38.8 g
3780,AGROLIMAX MINI GRANULI,BASF AGRO S.P.A.,METALDEHYDE,5.0 g
3781,DISERVAL,ITALCHIMICA,DNOC,46.0 g
3782,TRIPE' CE',UPL  ITALIA S.R.L.,CHLORPROPHAM|PROPHAM,1.0 g|3.0 g
3783,SULFOSOL RAMATO,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),3.5 g|40.0 g
3784,SOLFOBARIO ROMAGNA LIQUIDO,SIAPA S.R.L.,BARIUM POLYSULPHIDE,28.0 g
3785,FOLTAMIN,DU PONT DE NEMOURS ITALIANA S.R.L.,FOLPET,50.0 g
3786,DIMETHOAT L,DU PONT DE NEMOURS ITALIANA S.R.L.,DIMETHOATE,38.0 g
3787,OVACARSIVAM,SIVAM S.P.A.,FENSON,-
3788,AFIDAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,PHOSPHAMIDON,18.0 g
3789,TEDION V-18,CROMPTON TECHNOLOGY BV,TETRADIFON,8.0 g
3790,TEDAN,DOW AGROSCIENCES ITALIA S.R.L.,TETRAETHYL PYROPHOSPHATE (TEPP)|TETRADIFON,-
3791,TERSANIL POLVERE,DU PONT DE NEMOURS ITALIANA S.R.L.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,70.0 g
3792,SOLFOSAN,DOW AGROSCIENCES ITALIA S.R.L.,SULPHUR (ZOLFO),-
3793,DITHANE M-45,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB,80.0 g
3794,UTARAME S CAFFARO,CAFFARO S.P.A.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),-
3795,SOLFAN,DOW AGROSCIENCES ITALIA S.R.L.,SULPHUR (ZOLFO),-
3796,BETON,DOW AGROSCIENCES ITALIA S.R.L.,SIMAZINE,50.0 g
3797,QUINTAMON S,DU PONT DE NEMOURS ITALIANA S.R.L.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE|DICLORAN,-
3798,FOLCARB,SIAPA S.R.L.,FOLPET,45.0 g
3799,MICROL,SIAPA S.R.L.,SULPHUR (ZOLFO),50.0 g
3800,CRITTAM WG,EASTMAN ITALIA S.R.L.,ZIRAM,76.0 g
3801,DALPIR,AVENTIS CROPSCIENCE ITALIA S.P.A.,PIPERONYL BUTOXIDE|PYRETHRIN I,-
3802,TIDUE',GANDINI,CARBON DISULPHIDE,-
3803,OVORAN,SIAPA S.R.L.,CHLORFENSON|MALATHION,15.0 g|35.0 g
3804,TIOCYAN COLLOIDALE,BASF AGRO S.P.A.,SULPHUR (ZOLFO),80.0 g
3805,RONWEED,AZIENDE AGRARIE TRENTO FITOFARMACI,DIURON,80.0 g
3806,ENOCAPTAN 50,ENOTRIA S.P.A.,CAPTAN,-
3807,MALERTOX MAIS A,SIVAM S.P.A.,ATRAZINE,48.0 g
3808,NOBAN,DOW AGROSCIENCES ITALIA S.R.L.,METAM SODIUM,-
3809,FUNGIZIN 80,SIVAM S.P.A.,ZINEB,80.0 g
3810,DAZOM L,CHEMIA S.P.A.,DAZOMET,26.0 g
3811,ANITEN COMBI,BASF AGRO S.P.A.,FLURENOL|MCPA|DICAMBA,5.0 g|26.0 g|3.0 g
3812,BAVISTIN M,BASF A.G. (AKTIENGESELLSHAFT),CARBENDAZIM|MANEB,6.0 g|50.0 g
3813,MARPIC,BASF AGRO S.P.A.,CLOPYRALID|DICHLORPROP,2.0 g|41.0 g
3814,ZINEB SANDOZ,SYNGENTA ITALIA S.P.A.,ZINEB,-
3815,ACATOX KT,SYNGENTA ITALIA S.P.A.,DICOFOL|TETRADIFON,-
3816,CHINOL,DOW AGROSCIENCES ITALIA S.R.L.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,-
3817,DISERBONE KN,NUFARM ITALIA S.R.L.,"MCPA|2,4-D",28.8 g|28.8 g
3818,Z 72,SYNGENTA ITALIA S.P.A.,ZINEB,-
3819,CLOMITANE,ADAMA ITALIA S.R.L.,CAPTAN,45.0 g
3820,MICERAM E BLU,SIPCAM S.P.A.,COPPER OXYCHLORIDE|ZINEB,20.0 g|32.0 g
3821,CUPROVITAL,ITAL-AGRO S.R.L.,COPPER OXYCHLORIDE,13.0 g
3822,SILMAL CEREALI,SIAPA S.R.L.,MALATHION,1.0 g
3823,ZOLFO COLLOIDALE 80,DIACHEM S.P.A.,SULPHUR (ZOLFO),80.0 g
3824,REDON L,S.A.R.I.A.F. S.P.A.,CHLORBENSIDE,-
3825,IDROZOLFO,S.A.R.I.A.F. S.P.A.,SULPHUR (ZOLFO),33.0 g
3826,GRANEX DM,SIPCAM S.P.A.,"MCPA|2,4-D",24.5 g|24.9 g
3827,PARAFOS 20,DU PONT DE NEMOURS ITALIANA S.R.L.,PARATHION,20.0 g
3828,ENDO 35 EC,SIPCAM S.P.A.,ENDOSULFAN,32.9 g
3829,CANNICID,SIPCAM S.P.A.,DALAPON,80.0 g
3830,SOLFRAME N,SIPCAM S.P.A.,COPPER SULFATE|SULPHUR (ZOLFO),13.0 g|36.0 g
3831,POLVERE SIPCAM,SIPCAM S.P.A.,COPPER OXYCHLORIDE,16.0 g
3832,TIOCUPROL,SIPCAM S.P.A.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),5.0 g|50.0 g
3833,SOLFRAME,SIPCAM S.P.A.,COPPER SULFATE|SULPHUR (ZOLFO),13.0 g|20.0 g
3834,AKKRAM 23 PB,ISAGRO S.P.A.,CYHEXATIN,24.0 g
3835,BREXON 50 EC,ISAGRO S.P.A.,NALED,-
3836,DOWFUME EB 5,DOW AGROSCIENCES ITALIA S.R.L.,"1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)",-
3837,BOSCAR,DOW AGROSCIENCES ITALIA S.R.L.,PICLORAM,-
3838,PREVENOL 56,AVENTIS CROPSCIENCE ITALIA S.P.A.,CHLORPROPHAM,-
3839,ZIMASOL,GUABER S.P.A.,MANEB|ZINEB|SULPHUR (ZOLFO),24.0 g|3.0 g|20.0 g
3840,DM 34,ISAGRO S.P.A.,"DICLOROETHANE-1,1",-
3841,KELTHANE EC,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL,18.5 g
3842,ORTHOCIDE 83,BAYER CROPSCIENCE S.R.L.,CAPTAN,-
3843,AMICINA,SIPCAM S.P.A.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,20.0 g
3843,AMICINA,SIPCAM S.P.A.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,20.0 g
3844,AMICINA P,SIPCAM S.P.A.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,3.0 g
3845,ENDO 35 PB,SIPCAM S.P.A.,ENDOSULFAN,33.0 g
3846,FITIOS B/77 PB 25,INTERNAZIONALE B.P.D. S.R.L.,ETHOATE-METHYL,-
3847,CUPRAVIT MICRO,BAYER CROPSCIENCE S.R.L.,COPPER OXYCHLORIDE,30.0 g
3848,CAPTAN BAYER,BAYER CROPSCIENCE S.R.L.,CAPTAN,45.0 g
3849,OVONEX,AVENTIS CROPSCIENCE ITALIA S.P.A.,TETRADIFON,8.0 g
3850,VPM SOIL FUMIGANT,AVENTIS CROPSCIENCE ITALIA S.P.A.,METAM SODIUM,33.0 g
3851,KELTHANE W,ROHM AND HAAS ITALIA S.R.L.,DICOFOL,19.0 g
3852,DAITAL M,BASF AGRO S.P.A.,MANCOZEB|COPPER OXYCHLORIDE,15.0 g|30.0 g
3853,SULFOSOL RAMATO 5,AVENTIS CROPSCIENCE ITALIA S.P.A.,SULPHUR (ZOLFO),40.0 g
3854,HERBIDAL CESPUGLI,AVENTIS CROPSCIENCE ITALIA S.P.A.,"PICLORAM|2,4-D",10.2 g
3855,VAPAM,AVENTIS CROPSCIENCE ITALIA S.P.A.,METAM SODIUM,33.0 g
3856,ZOLFO COLLOIDALE A.A.,P.K. PLANT KEMICAL S.R.L.,SULPHUR (ZOLFO),80.0 g
3857,FITOLIN,AZIENDE AGRARIE TRENTO FITOFARMACI,LINURON,-
3858,DURSBAN 22,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS,23.0 g
3859,DURSBAN,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS,44.5 g
3860,DURSBAN 12,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS,12.0 g
3861,ROTIOFEN GOLD,NUFARM ITALIA S.R.L.,CHLORPYRIFOS,45.0 g
3862,LORSBAN 12 EC,ISAGRO S.P.A.,CHLORPYRIFOS,11.8 g
3863,TERIAL 12 L,BASF AGRO S.P.A.,CHLORPYRIFOS,12.0 g
3864,TERIAL 40 L,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS,44.5 g
3865,TERIAL 24 L,BASF AGRO S.P.A.,CHLORPYRIFOS,23.0 g
3866,DM 34 F,ISAGRO S.P.A.,"1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)",-
3867,CUPROSSINA,ISAGRO COPPER S.R.L.,COPPER OXYCHLORIDE,22.0 g
3868,FUNGOSTOP,VISPLANT CHIMIREN S.P.A.,ZIRAM,27.0 g
3869,AVIOZIR,SIAPA S.R.L.,ZIRAM|PARAFFIN OIL/(CAS 8012-95-1),27.0 g|55.0 g
3870,MORESTAN POLVERE,BAYER CROPSCIENCE S.R.L.,CHINOMETHIONATE,-
3871,ZIRAMVIS,SEPRAN S.A.S.,ZIRAM,23.8 g
3872,DITIOZIN F 80,VISPLANT CHIMIREN S.P.A.,ZINEB,80.0 g
3873,BASIRAM,GOWAN ITALIA S.R.L.,COPPER SULFATE,15.2 g
3874,VITEX MARCA BIANCA,CAFFARO S.P.A.,ZINEB|SULPHUR (ZOLFO),64.0 g|16.0 g
3875,MONOFOS,SOLPLANT S.P.A.,MONOCROTOPHOS,-
3876,ANTRACOL 50 BLU,BAYER CROPSCIENCE S.R.L.,PROPINEB,45.0 g
3877,BLUCYAN 10 P,BASF AGRO S.P.A.,ZINEB,-
3878,AVIORAM E,ISAGRO S.P.A.,COPPER OXYCHLORIDE|PETROLEUM OILS/(CAS 92062-35-6),17.0 g|44.0 g
3879,VERAVIT M,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE,-
3880,GRANEX,SIPCAM S.P.A.,"2,4-D",40.0 g
3881,FITODEL,AVENTIS CROPSCIENCE ITALIA S.P.A.,DODINE,65.0 g
3882,FER DITHEX,INTERNAZIONALE B.P.D. S.R.L.,FERBAM,-
3883,DITIAMINA P 25,ISAGRO S.P.A.,ZINEB,-
3884,MALAFOS FORMULAZIONE INODORE,GOWAN ITALIA S.R.L.,MALATHION,50.0 g
3885,WETTION CUPRICO,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),-
3886,SANSPOR RAMATO,SOLPLANT S.P.A.,COPPER OXYCHLORIDE|CAPTAFOL,-
3887,THION 90,P.K. PLANT KEMICAL S.R.L.,SULPHUR (ZOLFO),-
3888,CARBINA BLEU,NUOVE AZIENDE AGRARIE S.P.A.,ZINEB,-
3889,BETAMUR,SUMITOMO CHEMICAL ITALIA S.R.L.,CHLORIDAZON (AKA PYRAZONE),69.0 g
3890,DRUPINA 90,NUOVE AZIENDE AGRARIE S.P.A.,ZIRAM,-
3891,CARBINA 80,NUOVE AZIENDE AGRARIE S.P.A.,ZINEB,-
3892,LONACOL MICRO,BAYER CROPSCIENCE S.R.L.,ZINEB,-
3893,AGRIBLU,AGRICHIMICA S.R.L.,COPPER OXYCHLORIDE|ZINEB,-
3894,TULISAN,SOLPLANT S.P.A.,THIRAM,-
3895,CALCIOTIOL,SIPCAM S.P.A.,LIME SULPHUR (CALCIUM POLYSULPHID),22.0 g
3896,ACUPREX P,DOW AGROSCIENCES ITALIA S.R.L.,ZINEB,-
3897,CEPOS,ICL ITALIA TREVISO S.R.L.,CHLORTHAL-DIMETHYL,73.5 g
3898,TMTD 50 AZZURRO,SIPCAM S.P.A.,THIRAM,49.0 g
3899,SOLFORIN,FEDIS S.R.L.,SULPHUR (ZOLFO),60.0 g
3900,SOLVIT PB,ZAPI INDUSTRIE CHIMICHE S.P.A.,SULPHUR (ZOLFO),60.0 g
3901,VISIR COMBI,SCAM S.P.A.,SULPHUR (ZOLFO)|ESACONAZOLO,43.0 g|1.6 g
3902,DITIOZOL,SOCOA S.A.S.,ZINEB|SULPHUR (ZOLFO),-
3903,MANGAVIS D.G.,UPL EUROPE LTD,MANEB,75.0 g
3904,TETRAPOM,CIFO S.R.L.,THIRAM,49.0 g
3905,MALAVIS 50 EC,SCAM S.P.A.,MALATHION,50.0 g
3906,CLORDYN,VISPLANT CHIMIREN S.P.A.,TETRADIFON,-
3907,TIOSOL RAMATO,SIPCAM S.P.A.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),5.0 g|50.0 g
3908,TIOSOL B,SIPCAM S.P.A.,SULPHUR (ZOLFO),60.0 g
3909,MALAFOS,S.A.R.I.A.F. S.P.A.,MALATHION,-
3910,GRANOSAN,CAFFARO S.P.A.,"DICLOROETHANE-1,1|CARBON TETRACHLORIDE",-
3911,PIRETRAN,COPYR S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,8.0 g|2.5 g
3912,HYVAR X-4L,DU PONT DE NEMOURS ITALIANA S.R.L.,BROMACIL,4.0 g
3913,KROVAR II,DU PONT DE NEMOURS ITALIANA S.R.L.,BROMACIL|DIURON,53.0 g|27.0 g
3914,HYVAR X,DU PONT DE NEMOURS ITALIANA S.R.L.,BROMACIL,80.0 g
3915,ELIRAM,ISAGRO S.P.A.,COPPER OXYCHLORIDE|PARAFFIN OIL/(CAS 8012-95-1),-
3916,DITIAMINA AZZURRA,ISAGRO S.P.A.,ZINEB,70.0 g
3917,ABOL-DUST,SOLPLANT S.P.A.,ZINEB,-
3918,CUPROGARDA 50,NUOVE AZIENDE AGRARIE S.P.A.,COPPER OXYCHLORIDE,-
3919,DERROSAN,P.K. PLANT KEMICAL S.R.L.,LINDANE (LINDANO),-
3920,BLUCYAN 20 P,BASF AGRO S.P.A.,ZINEB,-
3921,CYANEB AZZURRO,BASF AGRO S.P.A.,ZINEB,65.0 g
3922,CYANEB M,BASF AGRO S.P.A.,ZINEB,80.0 g
3923,THIAMON COLLOIDALE,DU PONT DE NEMOURS ITALIANA S.R.L.,SULPHUR (ZOLFO),80.0 g
3924,THIAMON 80,DU PONT DE NEMOURS ITALIANA S.R.L.,SULPHUR (ZOLFO),80.0 g
3925,CURZATE Z,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL|ZINEB,4.0 g|40.0 g
3926,TRINET COMBI,DU PONT DE NEMOURS ITALIANA S.R.L.,TRIFLURALIN|NEBURON,-
3927,DAZIN MICRO,SIAPA S.R.L.,DIAZINON,4.8 g
3928,GRANOVIT TS,ISAGRO S.P.A.,CARBON DISULPHIDE|CARBON TETRACHLORIDE,-
3929,METILSAN,AVENTIS CROPSCIENCE ITALIA S.P.A.,THIRAM,40.0 g
3930,SPERSUL,SOLPLANT S.P.A.,SULPHUR (ZOLFO),-
3931,CHINOSAN,ISAGRO S.P.A.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,78.4 g
3932,SPERSUL 2,SYNGENTA ITALIA S.P.A.,SULPHUR (ZOLFO),80.0 g
3933,FULVIN,CIFO S.R.L.,SULPHUR (ZOLFO),25.0 g
3934,ACUPREX,DOW AGROSCIENCES ITALIA S.R.L.,ZINEB,-
3935,AKUPREX 65,DOW AGROSCIENCES ITALIA S.R.L.,ZINEB,-
3936,COLLOISOL,DOW AGROSCIENCES ITALIA S.R.L.,SULPHUR (ZOLFO),80.0 g
3937,AGER ATRA L,I.PI.CI S.P.A.,ATRAZINE,-
3938,ZOLFO BAGNABILE I.Z.I. 60,PASQUALE MORMINO & FIGLIO S.R.L.,SULPHUR (ZOLFO),59.9 g
3939,S.K.B. POLISOLFURO DI CALCIO,SHELL ITALIA S.P.A.,SULPHUR (ZOLFO)|LIME SULPHUR (CALCIUM POLYSULPHID),28.0 g
3940,MALERTOX ALGA RISO,SIVAM S.P.A.,NABAM,-
3941,BASF MANEB,BASF A.G. (AKTIENGESELLSHAFT),MANEB,80.0 g
3942,ZIRAM,BASF A.G. (AKTIENGESELLSHAFT),ZIRAM,80.0 g
3943,SOLGAS,CAFFARO S.P.A.,DAZOMET,-
3944,KOLSOL 80,SIVAM S.P.A.,SULPHUR (ZOLFO),-
3945,AGERAM 50,I.PI.CI S.P.A.,COPPER OXYCHLORIDE,-
3946,PENNSTYL 20 L,SIPCAM S.P.A.,CYHEXATIN,20.0 g
3947,NIXITOK,ROHM AND HAAS ITALIA S.R.L.,NEBURON|NITROFEN,-
3948,DARD X,ISAGRO S.P.A.,BROMACIL,-
3949,SOLVITENE P,SIPCAM S.P.A.,ZINEB|ZIRAM|SULPHUR (ZOLFO),3.0 g|3.0 g|40.0 g
3950,AMITAN E AZZURRO,SIPCAM S.P.A.,ZINEB,65.0 g
3951,AMITAN P 10,SIPCAM S.P.A.,ZINEB,8.0 g
3952,SOLVITENE S,SIPCAM S.P.A.,ZINEB|ZIRAM|SULPHUR (ZOLFO),20.0 g|24.0 g|25.0 g
3953,VITEX MARCA AZZURRA MICRONIZZATO,CAFFARO S.P.A.,ZINEB|SULPHUR (ZOLFO),52.0 g|20.0 g
3954,CURIT F 72 BLAU,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYMOXANIL|FOLPET,8.0 g|64.0 g
3955,CUMAN,SYNGENTA ITALIA S.P.A.,ZIRAM,80.0 g
3956,CURIT F 44,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYMOXANIL|FOLPET,4.0 g|40.0 g
3957,DINOCAP PB,SYNGENTA ITALIA S.P.A.,DINOCAP,19.5 g
3958,CURIT NIL 44 DF,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYMOXANIL|CHLOROTHALONIL,4.0 g|40.0 g
3959,CURIT R 44 BLAU,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|40.0 g
3960,CURIT MZ,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYMOXANIL|MANCOZEB,8.0 g|69.0 g
3961,EFFICAN TRIS,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYMOXANIL|FOLPET|COPPER OXYCHLORIDE,-
3962,ZIMAR,SOLPLANT S.P.A.,ZIRAM,-
3963,BROMIVAR,DOW AGROSCIENCES ITALIA S.R.L.,BROMACIL,-
3964,CRYPTOLINA,AGRICA S.R.L.,8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE,25.0 g
3965,TIOZIR AZZURRO,S.A.R.I.A.F. S.P.A.,ZIRAM|SULPHUR (ZOLFO),-
3966,CUZIN,SCAM S.P.A.,COPPER OXYCHLORIDE|ZINEB,30.0 g|12.0 g
3967,REDPROP,SIAPA S.R.L.,PROPARGITE,57.0 g
3968,DUAL S,SYNGENTA ITALIA S.P.A.,METOLACHLOR,69.0 g
3969,ROTHON 101,AVENTIS CROPSCIENCE ITALIA S.P.A.,"PICLORAM|2,4-D",-
3970,HYBAR-X,AVENTIS CROPSCIENCE ITALIA S.P.A.,BROMACIL,-
3971,SULFOSOL COLLOIDALE,AVENTIS CROPSCIENCE ITALIA S.P.A.,SULPHUR (ZOLFO),80.0 g
3972,ORTHOCIDE 50,BAYER CROPSCIENCE S.R.L.,CAPTAN,-
3973,SOLBAR S,BAYER CROPSCIENCE S.R.L.,BARIUM POLYSULPHIDE,99.0 g
3974,CROP,DOW AGROSCIENCES ITALIA S.R.L.,TETRADIFON|PROTHOATE,-
3975,FOLPET Z POLVERE SCHERING,AVENTIS CROPSCIENCE ITALIA S.P.A.,FOLPET|SULPHUR (ZOLFO),-
3976,PRODACAP 50,AVENTIS CROPSCIENCE ITALIA S.P.A.,CAPTAN,-
3977,TRICLORFON 5 G,SOLPLANT S.P.A.,TRICHLORFON,-
3978,PIBUTRINA CONCENTRATA 1-D,SYNGENTA ITALIA S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,19.1 g|2.8 g
3979,THIODAN OLIO,AVENTIS CROPSCIENCE ITALIA S.P.A.,ENDOSULFAN|PARAFFIN OIL/(CAS 8012-95-1),-
3980,FITIOS B/77 P,INTERNAZIONALE B.P.D. S.R.L.,ETHOATE-METHYL,-
3981,MAILER,BAYER CROPSCIENCE S.R.L.,DICLOFOP-METHYL,36.0 g
3982,ILLOXAN,BAYER CROPSCIENCE S.R.L.,DICLOFOP-METHYL,27.3 g
3983,DELFITHEX BLU,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,65.0 g
3984,MITEX 50,AVENTIS CROPSCIENCE ITALIA S.P.A.,BOPARDOIL|FENSON,-
3985,SULFOSOL 60,AVENTIS CROPSCIENCE ITALIA S.P.A.,SULPHUR (ZOLFO),-
3986,HYVAR-X,INTERNAZIONALE B.P.D. S.R.L.,BROMACIL,-
3987,SULFOSOL,AVENTIS CROPSCIENCE ITALIA S.P.A.,SULPHUR (ZOLFO),40.0 g
3988,DELFITHEX POLVERE,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,7.0 g
3989,CARBINA TZ,NUOVE AZIENDE AGRARIE S.P.A.,THIRAM|ZINEB,-
3990,ZES DOPPIO BLU,PASQUALE MORMINO & FIGLIO S.R.L.,ZINEB|SULPHUR (ZOLFO),-
3991,GRANOX S-48,FORMENTI S.P.A.,"2,4-D",-
3992,ZIRAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,ZIRAM,80.0 g
3993,UNDENE POLVERE,BAYER CROPSCIENCE S.R.L.,PROPOXUR,5.0 g
3994,TIODITAM,GOWAN ITALIA S.R.L.,ZINEB|SULPHUR (ZOLFO),40.0 g|20.0 g
3995,CURIT ZIN 44,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYMOXANIL|ZINEB,-
3996,AMITAN ES,SIPCAM S.P.A.,ZINEB,80.0 g
3997,ZYNTEB,SCAM S.P.A.,ZINEB,70.0 g
3998,TRITIN,SCAM S.P.A.,CYHEXATIN,24.0 g
3999,SEVILAN 5 PS,SCAM S.P.A.,CARBARIL,5.0 g
4000,BUMUCLAN,SCAM S.P.A.,FOLPET|CAPTAFOL,-
4001,COLLOISOL L,DOW AGROSCIENCES ITALIA S.R.L.,SULPHUR (ZOLFO),-
4002,MICOSIN 90,DIACHEM S.P.A.,ZIRAM,86.0 g
4003,ZILAN L,BASF AGRO S.P.A.,ZIRAM,-
4004,BAPAR 20,AGRICHIMICA S.R.L.,PARATHION-METHYL,-
4005,ETAZIN C 80,AGRIPHAR ITALIA S.R.L.,ZINEB,65.0 g
4006,BAFOS,BASLINI S.P.A.,AZINFOS METILE,-
4007,BARIN,BASLINI S.P.A.,ATRAZINE,-
4008,BAPAR 10 G,BASLINI S.P.A.,PARATHION,-
4009,VITEX MARCA BIANCA MICRONIZZATA,CAFFARO S.P.A.,ZINEB,72.0 g
4010,DIKOFAG COMBI,AVENTIS CROPSCIENCE ITALIA S.P.A.,"MCPA|2,4-D",-
4011,PIRETRIN,CHEMIA S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,8.0 g|2.5 g
4012,RELDAN 22,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS-METHYL,21.4 g
4013,SANDOZIR,SYNGENTA ITALIA S.P.A.,ZIRAM,86.0 g
4014,ZOLFO WP,SOLPLANT S.P.A.,SULPHUR (ZOLFO),-
4015,SULFINETTE,SOLPLANT S.P.A.,LIME SULPHUR (CALCIUM POLYSULPHID),-
4016,NICOTAN C,SIPCAM S.P.A.,ZINEB,16.0 g
4017,FRUTTENE,SIPCAM S.P.A.,ZIRAM,80.0 g
4018,FRUTTENE L 30,SIPCAM S.P.A.,ZIRAM,26.0 g
4019,DIMILIN 12,DU PONT DE NEMOURS ITALIANA S.R.L.,DIFLUBENZURON,12.0 g
4020,FERNOXONE 50,SOLPLANT S.P.A.,"2,4-D",-
4021,FOLTAPET RAMATO,SOLPLANT S.P.A.,FOLPET|COPPER OXYCHLORIDE|CAPTAFOL,-
4022,"GEOSIN 2,25 G",SOLPLANT S.P.A.,DIAZINON,-
4023,"GEOSIN 4,5 P",SOLPLANT S.P.A.,DIAZINON,-
4024,CRITTEB P8,SIAPA S.R.L.,MANEB,7.0 g
